@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 78\nSize of the tree: 155\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 74\nSize of the tree: 147\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 16\nSize of the tree: 31\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,10,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,50,30,0,62.5,37.5,0,0.259716,0.394646,0.509892,79.321518,102.262244,79.679854,3295.721195,-3216.041341,0.995998,41.196515,-40.200517,17.217083,0.215214,1727.12834,0.72973,27,0.465116,20,0.534884,23,0.27027,10,0.574468,0.72973,0.642857,0.268004,0.679133,0.627792,0.625,0.360387,0.639613,0.375,0.640313,0.625,0.62265,0.268004,0.679133,0.649226,0.62406,0.625,0.021,0,0.015625,0,15.625,0,15274,139150,17056,95,90,'Number of leaves: 33\nSize of the tree: 65\n',65,33,33
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,1,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,49,32,0,60.493827,39.506173,0,0.218807,0.427458,0.525612,85.848856,105.32153,80.779108,2230.378473,-2149.599365,0.997273,27.535537,-26.538264,12.076575,0.149094,1211.630972,0.710526,27,0.488372,21,0.511628,22,0.289474,11,0.5625,0.710526,0.627907,0.225633,0.612301,0.53453,0.604938,0.382784,0.617216,0.395062,0.617798,0.604938,0.601916,0.225633,0.612301,0.595818,0.603427,0.604938,0.026,0,0.015625,0,15.625,0,13454,138961,17245,97.530864,93.82716,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,2,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,55,26,0,67.901235,32.098765,0,0.357535,0.396374,0.507895,79.605993,101.771454,80.779108,7576.771345,-7495.992237,0.997273,93.540387,-92.543114,18.419558,0.227402,1848.016189,0.684211,26,0.325581,14,0.674419,29,0.315789,12,0.65,0.684211,0.666667,0.357973,0.627601,0.571689,0.679012,0.320383,0.679617,0.320988,0.680428,0.679012,0.679306,0.357973,0.627601,0.603242,0.678571,0.679012,0.025,0,0.015625,0,15.625,0,18186,138961,17245,91.358025,88.271605,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,3,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,52,29,0,64.197531,35.802469,0,0.288828,0.365137,0.499709,73.332544,100.131227,80.779108,4363.792771,-4283.013663,0.997273,53.873985,-52.876712,21.673423,0.267573,2174.473279,0.710526,27,0.418605,18,0.581395,25,0.289474,11,0.6,0.710526,0.650602,0.29318,0.70104,0.67011,0.641975,0.350054,0.649946,0.358025,0.650137,0.641975,0.641211,0.29318,0.70104,0.695358,0.641757,0.641975,0.024,0,0.03125,0,31.25,0,19278,138961,17245,91.358025,80.246914,'Number of leaves: 44\nSize of the tree: 87\n',87,44,44
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,4,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,52,29,0,64.197531,35.802469,0,0.275671,0.384081,0.52732,77.137117,105.663885,80.779108,7582.810969,-7502.031861,0.997273,93.61495,-92.617677,19.024089,0.234865,1908.668261,0.552632,21,0.27907,12,0.72093,31,0.447368,17,0.636364,0.552632,0.591549,0.277846,0.664015,0.599728,0.641975,0.368413,0.631587,0.358025,0.641391,0.641975,0.639205,0.277846,0.664015,0.641709,0.636434,0.641975,0.021,0,0.03125,0,31.25,0,19642,138961,17245,91.358025,82.098765,'Number of leaves: 45\nSize of the tree: 89\n',89,45,45
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,5,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,51,30,0,62.962963,37.037037,0,0.267631,0.412601,0.513781,82.865057,102.95091,80.779108,4366.738193,-4285.959085,0.997273,53.910348,-52.913075,14.755481,0.182166,1480.402948,0.736842,28,0.465116,20,0.534884,23,0.263158,10,0.583333,0.736842,0.651163,0.275981,0.646879,0.586947,0.62963,0.357904,0.642096,0.37037,0.643659,0.62963,0.626796,0.275981,0.646879,0.626976,0.628213,0.62963,0.017,0.001,0.015625,0,15.625,0,13090,138961,17245,95.061728,90.123457,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,6,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,725,81,52,29,0,64.197531,35.802469,0,0.28011,0.400598,0.518173,80.454401,103.830868,80.779108,4369.022411,-4288.243303,0.997273,53.938548,-52.941275,16.681613,0.205946,1673.649863,0.605263,23,0.325581,14,0.674419,29,0.394737,15,0.621622,0.605263,0.613333,0.280197,0.657589,0.586552,0.641975,0.362294,0.637706,0.358025,0.641513,0.641975,0.641646,0.280197,0.657589,0.631564,0.64,0.641975,0.02,0,0.015625,0,15.625,0,17094,138961,17245,95.061728,92.592593,'Number of leaves: 38\nSize of the tree: 75\n',75,38,38
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,7,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,42,38,0,52.5,47.5,0,0.044626,0.457512,0.567015,91.957035,113.718583,79.679854,8662.254189,-8582.574335,0.995998,108.278177,-107.282179,6.163557,0.077044,618.296028,0.486486,18,0.44186,19,0.55814,24,0.513514,19,0.486486,0.486486,0.486486,0.044626,0.584538,0.528598,0.525,0.480374,0.519626,0.475,0.525,0.525,0.525,0.044626,0.584538,0.56691,0.522313,0.525,0.02,0,0.03125,0,31.25,0,16730,139150,17056,90,87.5,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,8,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,56,24,0,70,30,0,0.405573,0.370554,0.493591,74.479195,98.993003,79.679854,7570.610132,-7490.930277,0.995998,94.632627,-93.636628,21.735838,0.271698,2180.426426,0.783784,29,0.372093,16,0.627907,27,0.216216,8,0.644444,0.783784,0.707317,0.413777,0.696103,0.592274,0.7,0.288309,0.711691,0.3,0.712698,0.7,0.69925,0.413777,0.696103,0.657204,0.699812,0.7,0.03,0,0.03125,0,31.25,0,18550,139150,17056,91.25,85,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
dr-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,9,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170203.1556,726,80,48,32,0,60,40,0,0.201497,0.426732,0.525574,85.770522,105.407305,79.679854,3298.227247,-3218.547392,0.995998,41.227841,-40.231842,11.842366,0.14803,1187.964673,0.621622,23,0.418605,18,0.581395,25,0.378378,14,0.560976,0.621622,0.589744,0.202508,0.626336,0.548424,0.6,0.396983,0.603017,0.4,0.604003,0.6,0.6005,0.202508,0.626336,0.60994,0.59975,0.6,0.017,0,0.015625,0,15.625,0,14182,139150,17056,96.25,92.5,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
