@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
51,141,9,91,47,0.65942,0.94,0.607759,0.94,0.392241,0.73822,0.805556,1.166897,0.200984
52,141,9,90,48,0.652174,0.94,0.61039,0.94,0.38961,0.740157,0.802083,1.171948,0.201637
53,141,9,89,49,0.644928,0.94,0.613043,0.94,0.386957,0.742105,0.798611,1.177043,0.202211
54,141,9,88,50,0.637681,0.94,0.615721,0.94,0.384279,0.744063,0.795139,1.182183,0.213303
55,141,9,87,51,0.630435,0.94,0.618421,0.94,0.381579,0.746032,0.791667,1.187368,0.220307
56,141,9,86,52,0.623188,0.94,0.621145,0.94,0.378855,0.748011,0.788194,1.192599,0.226585
57,141,9,85,53,0.615942,0.94,0.623894,0.94,0.376106,0.75,0.784722,1.197876,0.22923
58,141,9,84,54,0.608696,0.94,0.626667,0.94,0.373333,0.752,0.78125,1.2032,0.23217
59,141,9,83,55,0.601449,0.94,0.629464,0.94,0.370536,0.754011,0.777778,1.208571,0.23337
60,141,9,82,56,0.594203,0.94,0.632287,0.94,0.367713,0.756032,0.774306,1.213991,0.241142
61,141,9,81,57,0.586957,0.94,0.635135,0.94,0.364865,0.758065,0.770833,1.219459,0.244372
62,141,9,80,58,0.57971,0.94,0.638009,0.94,0.361991,0.760108,0.767361,1.224977,0.244462
63,141,9,78,60,0.565217,0.94,0.643836,0.94,0.356164,0.764228,0.760417,1.236164,0.251581
64,141,9,77,61,0.557971,0.94,0.646789,0.94,0.353211,0.766304,0.756944,1.241835,0.2629
65,141,9,76,62,0.550725,0.94,0.64977,0.94,0.35023,0.768392,0.753472,1.247558,0.263769
66,140,10,75,63,0.543478,0.933333,0.651163,0.933333,0.348837,0.767123,0.746528,1.250233,0.265538
67,140,10,74,64,0.536232,0.933333,0.654206,0.933333,0.345794,0.769231,0.743056,1.256075,0.271523
68,140,10,73,65,0.528986,0.933333,0.657277,0.933333,0.342723,0.77135,0.739583,1.261972,0.272663
69,140,10,72,66,0.521739,0.933333,0.660377,0.933333,0.339623,0.773481,0.736111,1.267925,0.276735
70,138,12,71,67,0.514493,0.92,0.660287,0.92,0.339713,0.768802,0.725694,1.267751,0.278614
71,138,12,70,68,0.507246,0.92,0.663462,0.92,0.336538,0.77095,0.722222,1.273846,0.27978
72,138,12,69,69,0.5,0.92,0.666667,0.92,0.333333,0.773109,0.71875,1.28,0.282202
73,138,12,68,70,0.492754,0.92,0.669903,0.92,0.330097,0.775281,0.715278,1.286214,0.285218
74,138,12,67,71,0.485507,0.92,0.673171,0.92,0.326829,0.777465,0.711806,1.292488,0.288558
75,138,12,66,72,0.478261,0.92,0.676471,0.92,0.323529,0.779661,0.708333,1.298824,0.289716
76,138,12,65,73,0.471014,0.92,0.679803,0.92,0.320197,0.78187,0.704861,1.305222,0.289954
77,138,12,64,74,0.463768,0.92,0.683168,0.92,0.316832,0.784091,0.701389,1.311683,0.289971
78,138,12,63,75,0.456522,0.92,0.686567,0.92,0.313433,0.786325,0.697917,1.318209,0.29216
79,138,12,62,76,0.449275,0.92,0.69,0.92,0.31,0.788571,0.694444,1.3248,0.294076
80,138,12,61,77,0.442029,0.92,0.693467,0.92,0.306533,0.790831,0.690972,1.331457,0.294233
81,137,13,61,77,0.442029,0.913333,0.691919,0.913333,0.308081,0.787356,0.6875,1.328485,0.294807
82,136,14,61,77,0.442029,0.906667,0.690355,0.906667,0.309645,0.783862,0.684028,1.325482,0.295555
83,135,15,61,77,0.442029,0.9,0.688776,0.9,0.311224,0.780347,0.680556,1.322449,0.300993
84,134,16,61,77,0.442029,0.893333,0.687179,0.893333,0.312821,0.776812,0.677083,1.319385,0.301764
85,133,17,61,77,0.442029,0.886667,0.685567,0.886667,0.314433,0.773256,0.673611,1.316289,0.303598
86,133,17,60,78,0.434783,0.886667,0.689119,0.886667,0.310881,0.77551,0.670139,1.323109,0.311597
87,132,18,60,78,0.434783,0.88,0.6875,0.88,0.3125,0.77193,0.666667,1.32,0.312567
88,131,19,59,79,0.427536,0.873333,0.689474,0.873333,0.310526,0.770588,0.659722,1.323789,0.315608
89,131,19,58,80,0.42029,0.873333,0.693122,0.873333,0.306878,0.772861,0.65625,1.330794,0.326597
90,131,19,57,81,0.413043,0.873333,0.696809,0.873333,0.303191,0.775148,0.652778,1.337872,0.330667
91,131,19,56,82,0.405797,0.873333,0.700535,0.873333,0.299465,0.777448,0.649306,1.345027,0.336391
92,131,19,55,83,0.398551,0.873333,0.704301,0.873333,0.295699,0.779762,0.645833,1.352258,0.33686
93,131,19,54,84,0.391304,0.873333,0.708108,0.873333,0.291892,0.78209,0.642361,1.359568,0.338479
94,131,19,53,85,0.384058,0.873333,0.711957,0.873333,0.288043,0.784431,0.638889,1.366957,0.33919
95,131,19,52,86,0.376812,0.873333,0.715847,0.873333,0.284153,0.786787,0.635417,1.374426,0.34355
96,131,19,50,88,0.362319,0.873333,0.723757,0.873333,0.276243,0.791541,0.628472,1.389613,0.352715
97,131,19,49,89,0.355072,0.873333,0.727778,0.873333,0.272222,0.793939,0.625,1.397333,0.355572
98,130,20,49,89,0.355072,0.866667,0.726257,0.866667,0.273743,0.790274,0.621528,1.394413,0.367454
99,130,20,48,90,0.347826,0.866667,0.730337,0.866667,0.269663,0.792683,0.618056,1.402247,0.368129
100,130,20,47,91,0.34058,0.866667,0.734463,0.866667,0.265537,0.795107,0.614583,1.410169,0.384223
101,130,20,46,92,0.333333,0.866667,0.738636,0.866667,0.261364,0.797546,0.611111,1.418182,0.391185
102,130,20,45,93,0.326087,0.866667,0.742857,0.866667,0.257143,0.8,0.607639,1.426286,0.397824
103,129,21,45,93,0.326087,0.86,0.741379,0.86,0.258621,0.796296,0.604167,1.423448,0.401194
104,129,21,44,94,0.318841,0.86,0.745665,0.86,0.254335,0.798762,0.600694,1.431676,0.401266
105,129,21,42,96,0.304348,0.86,0.754386,0.86,0.245614,0.803738,0.59375,1.448421,0.405824
106,128,22,42,96,0.304348,0.853333,0.752941,0.853333,0.247059,0.8,0.590278,1.445647,0.41122
107,128,22,41,97,0.297101,0.853333,0.757396,0.853333,0.242604,0.802508,0.586806,1.454201,0.423111
108,128,22,40,98,0.289855,0.853333,0.761905,0.853333,0.238095,0.805031,0.583333,1.462857,0.425368
109,128,22,39,99,0.282609,0.853333,0.766467,0.853333,0.233533,0.807571,0.579861,1.471617,0.427492
110,128,22,38,100,0.275362,0.853333,0.771084,0.853333,0.228916,0.810127,0.576389,1.480482,0.428752
111,128,22,37,101,0.268116,0.853333,0.775758,0.853333,0.224242,0.812698,0.572917,1.489455,0.430494
112,123,27,37,101,0.268116,0.82,0.76875,0.82,0.23125,0.793548,0.555556,1.476,0.431291
113,122,28,37,101,0.268116,0.813333,0.767296,0.813333,0.232704,0.789644,0.552083,1.473208,0.432691
114,122,28,36,102,0.26087,0.813333,0.772152,0.813333,0.227848,0.792208,0.548611,1.482532,0.443525
115,121,29,36,102,0.26087,0.806667,0.770701,0.806667,0.229299,0.788274,0.545139,1.479745,0.457377
116,121,29,35,103,0.253623,0.806667,0.775641,0.806667,0.224359,0.79085,0.541667,1.489231,0.475243
117,120,30,35,103,0.253623,0.8,0.774194,0.8,0.225806,0.786885,0.538194,1.486452,0.475352
118,120,30,34,104,0.246377,0.8,0.779221,0.8,0.220779,0.789474,0.534722,1.496104,0.505938
119,119,31,34,104,0.246377,0.793333,0.777778,0.793333,0.222222,0.785479,0.53125,1.493333,0.509825
120,119,31,33,105,0.23913,0.793333,0.782895,0.793333,0.217105,0.788079,0.527778,1.503158,0.513605
121,118,32,33,105,0.23913,0.786667,0.781457,0.786667,0.218543,0.784053,0.524306,1.500397,0.523832
122,118,32,32,106,0.231884,0.786667,0.786667,0.786667,0.213333,0.786667,0.520833,1.5104,0.528792
123,117,33,32,106,0.231884,0.78,0.785235,0.78,0.214765,0.782609,0.517361,1.507651,0.531187
124,116,34,32,106,0.231884,0.773333,0.783784,0.773333,0.216216,0.778523,0.513889,1.504865,0.532819
125,115,35,32,106,0.231884,0.766667,0.782313,0.766667,0.217687,0.774411,0.510417,1.502041,0.538259
126,114,36,32,106,0.231884,0.76,0.780822,0.76,0.219178,0.77027,0.506944,1.499178,0.540454
127,113,37,32,106,0.231884,0.753333,0.77931,0.753333,0.22069,0.766102,0.503472,1.496276,0.541001
128,113,37,31,107,0.224638,0.753333,0.784722,0.753333,0.215278,0.768707,0.5,1.506667,0.546734
129,112,38,31,107,0.224638,0.746667,0.783217,0.746667,0.216783,0.764505,0.496528,1.503776,0.547153
130,112,38,30,108,0.217391,0.746667,0.788732,0.746667,0.211268,0.767123,0.493056,1.514366,0.547306
131,112,38,29,109,0.210145,0.746667,0.794326,0.746667,0.205674,0.769759,0.489583,1.525106,0.550986
132,111,39,29,109,0.210145,0.74,0.792857,0.74,0.207143,0.765517,0.486111,1.522286,0.552449
133,110,40,29,109,0.210145,0.733333,0.791367,0.733333,0.208633,0.761246,0.482639,1.519424,0.559823
134,110,40,28,110,0.202899,0.733333,0.797101,0.733333,0.202899,0.763889,0.479167,1.530435,0.561697
135,109,41,28,110,0.202899,0.726667,0.79562,0.726667,0.20438,0.759582,0.475694,1.527591,0.570958
136,108,42,28,110,0.202899,0.72,0.794118,0.72,0.205882,0.755245,0.472222,1.524706,0.59088
137,108,42,27,111,0.195652,0.72,0.8,0.72,0.2,0.757895,0.46875,1.536,0.595823
138,108,42,26,112,0.188406,0.72,0.80597,0.72,0.19403,0.760563,0.465278,1.547463,0.601679
139,108,42,25,113,0.181159,0.72,0.81203,0.72,0.18797,0.763251,0.461806,1.559098,0.606021
140,108,42,24,114,0.173913,0.72,0.818182,0.72,0.181818,0.765957,0.458333,1.570909,0.611497
141,108,42,23,115,0.166667,0.72,0.824427,0.72,0.175573,0.768683,0.454861,1.582901,0.61518
142,108,42,22,116,0.15942,0.72,0.830769,0.72,0.169231,0.771429,0.451389,1.595077,0.62647
143,107,43,22,116,0.15942,0.713333,0.829457,0.713333,0.170543,0.767025,0.447917,1.592558,0.632011
144,107,43,21,117,0.152174,0.713333,0.835938,0.713333,0.164063,0.769784,0.444444,1.605,0.648656
145,106,44,21,117,0.152174,0.706667,0.834646,0.706667,0.165354,0.765343,0.440972,1.60252,0.658212
146,105,45,21,117,0.152174,0.7,0.833333,0.7,0.166667,0.76087,0.4375,1.6,0.663086
147,105,45,20,118,0.144928,0.7,0.84,0.7,0.16,0.763636,0.434028,1.6128,0.68075
148,104,46,20,118,0.144928,0.693333,0.83871,0.693333,0.16129,0.759124,0.430556,1.610323,0.695899
149,103,47,20,118,0.144928,0.686667,0.837398,0.686667,0.162602,0.754579,0.427083,1.607805,0.704686
150,102,48,20,118,0.144928,0.68,0.836066,0.68,0.163934,0.75,0.423611,1.605246,0.705473
151,101,49,20,118,0.144928,0.673333,0.834711,0.673333,0.165289,0.745387,0.420139,1.602645,0.709542
152,100,50,20,118,0.144928,0.666667,0.833333,0.666667,0.166667,0.740741,0.416667,1.6,0.711892
153,99,51,20,118,0.144928,0.66,0.831933,0.66,0.168067,0.736059,0.413194,1.597311,0.715615
154,98,52,20,118,0.144928,0.653333,0.830508,0.653333,0.169492,0.731343,0.409722,1.594576,0.717462
155,98,52,19,119,0.137681,0.653333,0.837607,0.653333,0.162393,0.734082,0.40625,1.608205,0.725843
156,97,53,19,119,0.137681,0.646667,0.836207,0.646667,0.163793,0.729323,0.402778,1.605517,0.744386
157,96,54,19,119,0.137681,0.64,0.834783,0.64,0.165217,0.724528,0.399306,1.602783,0.753507
158,96,54,18,120,0.130435,0.64,0.842105,0.64,0.157895,0.727273,0.395833,1.616842,0.773684
159,95,55,18,120,0.130435,0.633333,0.840708,0.633333,0.159292,0.722433,0.392361,1.614159,0.787083
160,94,56,18,120,0.130435,0.626667,0.839286,0.626667,0.160714,0.717557,0.388889,1.611429,0.795966
