@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
51,142,8,87,51,0.630435,0.946667,0.620087,0.946667,0.379913,0.74934,0.795139,1.190568,0.115269
52,141,9,87,51,0.630435,0.94,0.618421,0.94,0.381579,0.746032,0.791667,1.187368,0.117095
53,141,9,86,52,0.623188,0.94,0.621145,0.94,0.378855,0.748011,0.788194,1.192599,0.126086
54,140,10,86,52,0.623188,0.933333,0.619469,0.933333,0.380531,0.744681,0.784722,1.189381,0.128385
55,140,10,85,53,0.615942,0.933333,0.622222,0.933333,0.377778,0.746667,0.78125,1.194667,0.129408
56,140,10,84,54,0.608696,0.933333,0.625,0.933333,0.375,0.748663,0.777778,1.2,0.13061
57,140,10,83,55,0.601449,0.933333,0.627803,0.933333,0.372197,0.75067,0.774306,1.205381,0.143333
58,139,11,83,55,0.601449,0.926667,0.626126,0.926667,0.373874,0.747312,0.770833,1.202162,0.14431
59,138,12,83,55,0.601449,0.92,0.624434,0.92,0.375566,0.743935,0.767361,1.198914,0.145281
60,138,12,82,56,0.594203,0.92,0.627273,0.92,0.372727,0.745946,0.763889,1.204364,0.164894
61,138,12,81,57,0.586957,0.92,0.630137,0.92,0.369863,0.747967,0.760417,1.209863,0.16624
62,138,12,80,58,0.57971,0.92,0.633028,0.92,0.366972,0.75,0.756944,1.215413,0.174379
63,137,13,80,58,0.57971,0.913333,0.631336,0.913333,0.368664,0.746594,0.753472,1.212166,0.201231
64,137,13,79,59,0.572464,0.913333,0.634259,0.913333,0.365741,0.748634,0.75,1.217778,0.202614
65,137,13,78,60,0.565217,0.913333,0.637209,0.913333,0.362791,0.750685,0.746528,1.223442,0.213828
66,137,13,77,61,0.557971,0.913333,0.640187,0.913333,0.359813,0.752747,0.743056,1.229159,0.219259
67,137,13,76,62,0.550725,0.913333,0.643192,0.913333,0.356808,0.754821,0.739583,1.23493,0.220321
68,136,14,75,63,0.543478,0.906667,0.64455,0.906667,0.35545,0.753463,0.732639,1.237536,0.2207
69,135,15,75,63,0.543478,0.9,0.642857,0.9,0.357143,0.75,0.729167,1.234286,0.221613
70,135,15,74,64,0.536232,0.9,0.645933,0.9,0.354067,0.752089,0.725694,1.240191,0.22205
71,135,15,73,65,0.528986,0.9,0.649038,0.9,0.350962,0.75419,0.722222,1.246154,0.223097
72,135,15,71,67,0.514493,0.9,0.65534,0.9,0.34466,0.758427,0.715278,1.258252,0.237735
73,133,17,71,67,0.514493,0.886667,0.651961,0.886667,0.348039,0.751412,0.708333,1.251765,0.238881
74,133,17,70,68,0.507246,0.886667,0.655172,0.886667,0.344828,0.753541,0.704861,1.257931,0.253843
75,133,17,69,69,0.5,0.886667,0.658416,0.886667,0.341584,0.755682,0.701389,1.264158,0.25698
76,133,17,68,70,0.492754,0.886667,0.661692,0.886667,0.338308,0.757835,0.697917,1.270448,0.2655
77,133,17,67,71,0.485507,0.886667,0.665,0.886667,0.335,0.76,0.694444,1.2768,0.266296
78,133,17,66,72,0.478261,0.886667,0.668342,0.886667,0.331658,0.762178,0.690972,1.283216,0.266564
79,133,17,65,73,0.471014,0.886667,0.671717,0.886667,0.328283,0.764368,0.6875,1.289697,0.267203
80,133,17,63,75,0.456522,0.886667,0.678571,0.886667,0.321429,0.768786,0.680556,1.302857,0.270594
81,133,17,62,76,0.449275,0.886667,0.682051,0.886667,0.317949,0.771014,0.677083,1.309538,0.275695
82,132,18,62,76,0.449275,0.88,0.680412,0.88,0.319588,0.767442,0.673611,1.306392,0.276328
83,132,18,61,77,0.442029,0.88,0.683938,0.88,0.316062,0.769679,0.670139,1.313161,0.276541
84,132,18,60,78,0.434783,0.88,0.6875,0.88,0.3125,0.77193,0.666667,1.32,0.278397
85,132,18,59,79,0.427536,0.88,0.691099,0.88,0.308901,0.774194,0.663194,1.326911,0.28036
86,132,18,58,80,0.42029,0.88,0.694737,0.88,0.305263,0.776471,0.659722,1.333895,0.283713
87,132,18,56,82,0.405797,0.88,0.702128,0.88,0.297872,0.781065,0.652778,1.348085,0.283777
88,130,20,55,83,0.398551,0.866667,0.702703,0.866667,0.297297,0.776119,0.642361,1.349189,0.284205
89,130,20,54,84,0.391304,0.866667,0.706522,0.866667,0.293478,0.778443,0.638889,1.356522,0.287183
90,130,20,53,85,0.384058,0.866667,0.710383,0.866667,0.289617,0.780781,0.635417,1.363934,0.293915
91,130,20,52,86,0.376812,0.866667,0.714286,0.866667,0.285714,0.783133,0.631944,1.371429,0.29487
92,130,20,51,87,0.369565,0.866667,0.718232,0.866667,0.281768,0.785498,0.628472,1.379006,0.29811
93,130,20,50,88,0.362319,0.866667,0.722222,0.866667,0.277778,0.787879,0.625,1.386667,0.300732
94,130,20,49,89,0.355072,0.866667,0.726257,0.866667,0.273743,0.790274,0.621528,1.394413,0.302672
95,129,21,49,89,0.355072,0.86,0.724719,0.86,0.275281,0.786585,0.618056,1.391461,0.302786
96,129,21,48,90,0.347826,0.86,0.728814,0.86,0.271186,0.788991,0.614583,1.399322,0.30391
97,129,21,47,91,0.34058,0.86,0.732955,0.86,0.267045,0.791411,0.611111,1.407273,0.303997
98,128,22,47,91,0.34058,0.853333,0.731429,0.853333,0.268571,0.787692,0.607639,1.404343,0.304735
99,128,22,46,92,0.333333,0.853333,0.735632,0.853333,0.264368,0.790123,0.604167,1.412414,0.305072
100,127,23,45,93,0.326087,0.846667,0.738372,0.846667,0.261628,0.78882,0.597222,1.417674,0.305208
101,127,23,44,94,0.318841,0.846667,0.74269,0.846667,0.25731,0.791277,0.59375,1.425965,0.306507
102,127,23,43,95,0.311594,0.846667,0.747059,0.846667,0.252941,0.79375,0.590278,1.434353,0.306572
103,127,23,42,96,0.304348,0.846667,0.751479,0.846667,0.248521,0.796238,0.586806,1.44284,0.306906
104,127,23,40,98,0.289855,0.846667,0.760479,0.846667,0.239521,0.801262,0.579861,1.46012,0.307563
105,126,24,40,98,0.289855,0.84,0.759036,0.84,0.240964,0.797468,0.576389,1.457349,0.307663
106,126,24,39,99,0.282609,0.84,0.763636,0.84,0.236364,0.8,0.572917,1.466182,0.308036
107,126,24,38,100,0.275362,0.84,0.768293,0.84,0.231707,0.802548,0.569444,1.475122,0.309142
108,125,25,38,100,0.275362,0.833333,0.766871,0.833333,0.233129,0.798722,0.565972,1.472393,0.310104
109,124,26,38,100,0.275362,0.826667,0.765432,0.826667,0.234568,0.794872,0.5625,1.46963,0.314418
110,124,26,37,101,0.268116,0.826667,0.770186,0.826667,0.229814,0.797428,0.559028,1.478758,0.320875
111,124,26,36,102,0.26087,0.826667,0.775,0.826667,0.225,0.8,0.555556,1.488,0.330765
