@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 8\nSize of the tree: 11\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 9\nSize of the tree: 13\n','Number of leaves: 13\nSize of the tree: 18\n','Number of leaves: 18\nSize of the tree: 24\n','Number of leaves: 12\nSize of the tree: 16\n','Number of leaves: 14\nSize of the tree: 20\n','Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 18\nSize of the tree: 25\n','Number of leaves: 22\nSize of the tree: 30\n','Number of leaves: 16\nSize of the tree: 21\n','Number of leaves: 15\nSize of the tree: 22\n','Number of leaves: 17\nSize of the tree: 23\n','Number of leaves: 7\nSize of the tree: 10\n','Number of leaves: 22\nSize of the tree: 29\n','Number of leaves: 28\nSize of the tree: 38\n','Number of leaves: 20\nSize of the tree: 29\n','Number of leaves: 19\nSize of the tree: 27\n','Number of leaves: 19\nSize of the tree: 26\n','Number of leaves: 33\nSize of the tree: 45\n','Number of leaves: 42\nSize of the tree: 56\n','Number of leaves: 36\nSize of the tree: 48\n','Number of leaves: 21\nSize of the tree: 27\n','Number of leaves: 41\nSize of the tree: 55\n','Number of leaves: 35\nSize of the tree: 49\n','Number of leaves: 31\nSize of the tree: 41\n','Number of leaves: 29\nSize of the tree: 37\n','Number of leaves: 35\nSize of the tree: 46\n','Number of leaves: 40\nSize of the tree: 53\n','Number of leaves: 27\nSize of the tree: 36\n','Number of leaves: 38\nSize of the tree: 52\n','Number of leaves: 36\nSize of the tree: 45\n','Number of leaves: 41\nSize of the tree: 54\n','Number of leaves: 52\nSize of the tree: 69\n','Number of leaves: 50\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 44\n','Number of leaves: 30\nSize of the tree: 39\n','Number of leaves: 26\nSize of the tree: 33\n','Number of leaves: 45\nSize of the tree: 62\n','Number of leaves: 38\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 44\n','Number of leaves: 37\nSize of the tree: 50\n','Number of leaves: 39\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 43\n','Number of leaves: 26\nSize of the tree: 34\n','Number of leaves: 27\nSize of the tree: 35\n','Number of leaves: 46\nSize of the tree: 61\n','Number of leaves: 41\nSize of the tree: 58\n','Number of leaves: 42\nSize of the tree: 59\n','Number of leaves: 48\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 47\n','Number of leaves: 39\nSize of the tree: 54\n','Number of leaves: 32\nSize of the tree: 41\n','Number of leaves: 33\nSize of the tree: 46\n','Number of leaves: 43\nSize of the tree: 58\n','Number of leaves: 34\nSize of the tree: 45\n','Number of leaves: 29\nSize of the tree: 40\n','Number of leaves: 39\nSize of the tree: 53\n','Number of leaves: 30\nSize of the tree: 42\n','Number of leaves: 21\nSize of the tree: 28\n','Number of leaves: 55\nSize of the tree: 75\n','Number of leaves: 36\nSize of the tree: 51\n','Number of leaves: 40\nSize of the tree: 55\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,1,10,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,50,17,0,74.626866,25.373134,0,0.483915,0.332299,0.44458,66.90329,89.155603,66.74039,57.399776,9.340613,0.996125,0.856713,0.139412,24.262199,0.362122,2440.122868,0.833333,30,0.354839,11,0.645161,20,0.166667,6,0.731707,0.833333,0.779221,0.489588,0.739247,0.699308,0.746269,0.267774,0.732226,0.253731,0.749069,0.746269,0.743378,0.489588,0.739247,0.681332,0.740488,0.746269,0.004,0,0,0,0,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,1,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,57,11,0,83.823529,16.176471,0,0.669611,0.272812,0.35965,54.985993,72.21153,67.617655,41.821077,25.796578,0.994377,0.615016,0.379361,33.697052,0.495545,3388.363081,0.918919,34,0.258065,8,0.741935,23,0.081081,3,0.809524,0.918919,0.860759,0.677292,0.845248,0.806148,0.838235,0.177381,0.822619,0.161765,0.843757,0.838235,0.836259,0.677292,0.845248,0.797848,0.833889,0.838235,0.009,0,0,0,0,0,3748,48279,6930,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,2,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,58,10,0,85.294118,14.705882,0,0.702016,0.267497,0.355072,53.914773,71.292416,67.617655,41.182402,26.435252,0.994377,0.605624,0.388754,34.533495,0.507846,3472.47055,0.891892,33,0.193548,6,0.806452,25,0.108108,4,0.846154,0.891892,0.868421,0.703266,0.849172,0.813501,0.852941,0.154598,0.845402,0.147059,0.853409,0.852941,0.852425,0.703266,0.849172,0.799802,0.850877,0.852941,0.007,0,0.015625,0,15.625,0,3748,48279,6930,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,3,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,605,68,59,9,0,86.764706,13.235294,0,0.732517,0.22998,0.332496,46.35313,66.759474,67.617655,37.368488,30.249167,0.994377,0.549537,0.444841,39.213247,0.576665,3943.036841,0.891892,33,0.16129,5,0.83871,26,0.108108,4,0.868421,0.891892,0.88,0.732841,0.883173,0.854138,0.867647,0.137045,0.862955,0.132353,0.867621,0.867647,0.867445,0.732841,0.883173,0.847629,0.86623,0.867647,0.008,0,0,0,0,0,5156,48279,6930,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,4,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,49,18,0,73.134328,26.865672,0,0.449818,0.342357,0.456997,69.088789,91.88577,66.488989,60.202242,6.286748,0.992373,0.898541,0.093832,22.526632,0.336218,2264.627096,0.810811,30,0.366667,11,0.633333,19,0.189189,7,0.731707,0.810811,0.769231,0.453218,0.722072,0.697754,0.731343,0.287199,0.712801,0.268657,0.731287,0.731343,0.728637,0.453218,0.722072,0.666073,0.723901,0.731343,0.005,0,0.015625,0,15.625,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,5,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,57,10,0,85.074627,14.925373,0,0.696283,0.26909,0.357246,54.303144,71.829385,66.488989,40.949043,25.539947,0.992373,0.61118,0.381193,33.662078,0.502419,3384.085635,0.891892,33,0.2,6,0.8,24,0.108108,4,0.846154,0.891892,0.868421,0.697571,0.845946,0.814379,0.850746,0.158854,0.841146,0.149254,0.851074,0.850746,0.850137,0.697571,0.845946,0.796866,0.848004,0.850746,0.008,0.003,0,0,0,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,6,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,56,11,0,83.58209,16.41791,0,0.673171,0.254122,0.354397,51.282721,71.25657,66.488989,39.663328,26.825661,0.992373,0.59199,0.400383,35.06335,0.523334,3524.95714,0.783784,29,0.1,3,0.9,27,0.216216,8,0.90625,0.783784,0.84058,0.680724,0.884685,0.878259,0.835821,0.152037,0.847963,0.164179,0.845882,0.835821,0.836187,0.680724,0.884685,0.850831,0.835674,0.835821,0.003,0,0,0,0,0,6394,48356,6853,100,100,'Number of leaves: 13\nSize of the tree: 18\n',18,13,13
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,7,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,58,9,0,86.567164,13.432836,0,0.731642,0.235185,0.324993,47.350795,65.17376,66.74039,34.391026,32.349364,0.996125,0.513299,0.482826,38.064718,0.56813,3828.284101,0.833333,30,0.096774,3,0.903226,28,0.166667,6,0.909091,0.833333,0.869565,0.734587,0.926971,0.932343,0.865672,0.129113,0.870887,0.134328,0.869503,0.865672,0.865851,0.734587,0.926971,0.900175,0.865552,0.865672,0.008,0,0,0,0,0,5156,48356,6853,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,8,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,58,9,0,86.567164,13.432836,0,0.728011,0.242539,0.336589,48.831409,67.49927,66.74039,36.534806,30.205584,0.996125,0.545296,0.45083,37.040677,0.552846,3725.29323,0.916667,33,0.193548,6,0.806452,25,0.083333,3,0.846154,0.916667,0.88,0.731021,0.90009,0.887237,0.865672,0.142553,0.857447,0.134328,0.867763,0.865672,0.864943,0.731021,0.90009,0.870789,0.863729,0.865672,0.006,0,0,0,0,0,5156,48356,6853,100,100,'Number of leaves: 8\nSize of the tree: 11\n',11,8,8
Mammographic-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V,2,9,weka.classifiers.trees.J48,'-C 0.1 -M 2',-217733168393644444,20170204.054,606,67,51,16,0,76.119403,23.880597,0,0.51317,0.322975,0.432241,65.026086,86.681104,66.74039,54.74922,11.99117,0.996125,0.817153,0.178973,25.6766,0.383233,2582.373521,0.861111,31,0.354839,11,0.645161,20,0.138889,5,0.738095,0.861111,0.794872,0.521941,0.753136,0.710209,0.761194,0.254922,0.745078,0.238806,0.766738,0.761194,0.757586,0.521941,0.753136,0.696374,0.754579,0.761194,0.009,0,0,0,0,0,3748,48356,6853,100,100,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
