@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
98,20,144,15,166,0.082873,0.121951,0.571429,0.121951,0.428571,0.201005,0.101449,1.202091,0.983416
99,19,145,15,166,0.082873,0.115854,0.558824,0.115854,0.441176,0.191919,0.098551,1.175574,0.989524
100,16,148,15,166,0.082873,0.097561,0.516129,0.097561,0.483871,0.164103,0.089855,1.085759,0.990156
101,15,149,13,168,0.071823,0.091463,0.535714,0.091463,0.464286,0.15625,0.081159,1.12696,0.995407
102,14,150,13,168,0.071823,0.085366,0.518519,0.085366,0.481481,0.146597,0.078261,1.090786,0.996221
103,10,154,11,170,0.060773,0.060976,0.47619,0.060976,0.52381,0.108108,0.06087,1.001742,0.998257
104,4,160,3,178,0.016575,0.02439,0.571429,0.02439,0.428571,0.046784,0.02029,1.202091,0.9988
105,3,161,2,179,0.01105,0.018293,0.6,0.018293,0.4,0.035503,0.014493,1.262195,0.999426
106,3,161,1,180,0.005525,0.018293,0.75,0.018293,0.25,0.035714,0.011594,1.577744,0.999802
107,0,164,0,181,0,0,0,0,0,0,0,?,0.999812
